PWGTP,WGTP,AGEP,SEX,MAR,HISP,RAC1P,CIT,SCHL,WKHP,WKWN,WAGP,HINCP,INDP,ESR,FS,SERIALNO,R65,NOC,NRC,FER,PUMA,ADJINC,HUPAOC,HUPARC,state,HHSIZE,SQ_AGEP,EDU1,EDU2,EDU3,EDU4,EDU5,BLW21,EDU_AGE,MARRIED,ADJ_WAGP,ADJ_HINCP,INDP_cat,INDP_prefix,INDP_code,IND1,IND2,IND3,IND4,IND5,IND6,OC_under6,FER_MAR,NOC_MAR,OCunder6_MAR,unemp_reg,fs_availibility,fs_lagreceipt,avg_WAGP,avg_HINCP,SIMBENEFIT,SQ_SIMBENEFIT,SIMBENEFIT_SNAP,SB_EDU2,SB_EDU3,SB_EDU4,SB_EDU5,hrs_elast,WKHP_NAP,WKHP_SNAP,WKHP_change,WKHP_change_pct
121,121,45,0,3,03,9,2,16,12,52,0.0,1600.0,9290,0.0,1,2023HU0008313,0,0.0,0,0,600,1.019518,4,4,72,2,2025,0,1,0,0,0,0,0,0,0.0,1631.2287999999999,SRV-Private Households,SRV,16,0,0,0,0,1,0,0,0,0.0,0,7.898558578086051,0.11702992978204214,649,7295.143528641571,7294.848386931447,1802.3852288144126,3248592.5130483825,4110.314266810644,1802.3852288144126,0.0,0.0,0.0,0.18132256638444533,31.10486247747036,33.89103455331187,2.7861720758415096,8.957352175594954
32,35,43,0,5,03,1,2,21,40,52,40000.0,100000.0,0770,1.0,0,2023HU0008392,0,0.0,0,0,1102,1.019518,4,4,72,2,1849,0,0,0,1,0,0,0,0,40780.719999999994,101951.79999999999,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),CON,3,1,0,0,0,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,11491.823840399002,40087.31328500521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.57431970857374,40.57431970857374,0.0,0.0
96,81,43,0,1,04,1,2,23,36,52,80000.0,210000.0,7980,1.0,0,2023HU0008924,0,2.0,2,0,1200,1.019518,2,2,72,4,1849,0,0,0,0,1,0,0,1,81561.43999999999,214098.77999999997,MED-Offices Of Dentists,MED,9,0,0,0,0,0,1,0,0,2.0,0,2.9014684983420183,0.06661025797972887,371,36923.13767357304,140247.17217778054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.75100388290307,41.75100388290307,0.0,0.0
36,52,46,0,1,03,9,1,21,40,52,37000.0,118000.0,9470,1.0,0,2023HU0009085,0,2.0,2,0,1200,1.019518,2,2,72,5,2116,0,0,0,1,0,0,0,1,37722.166,120303.124,"ADM-Justice, Public Order, And Safety Activities",ADM,1,0,0,0,0,1,0,0,0,2.0,0,2.9014684983420183,0.06661025797972887,371,37021.17507808148,74617.19223060964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.69360839862661,38.69360839862661,0.0,0.0
312,91,26,0,5,03,8,2,19,20,12,2000.0,36100.0,8680,0.0,1,2023HU0009474,2,0.0,0,0,1200,1.019518,4,4,72,4,676,0,0,1,0,0,0,0,0,2039.0359999999998,36804.599799999996,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",ENT,5,0,0,0,0,0,1,0,0,0.0,0,2.9014684983420183,0.06661025797972887,371,15105.117507360523,49837.340461447806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.18958925675435,32.18958925675435,0.0,0.0
112,113,55,0,3,03,8,2,24,40,52,40000.0,40000.0,9170,1.0,0,2023HU0009641,0,0.0,0,0,1400,1.019518,4,4,72,3,3025,0,0,0,0,1,0,0,0,40780.719999999994,40780.719999999994,"SRV-Civic, Social, Advocacy Organizations, And Grantmaking And Giving Services",SRV,16,0,0,0,0,1,0,0,0,0.0,0,4.2574845220931214,0.062304137180691305,408,11319.51160491228,11318.825193335277,2319.927590008277,5382064.022881612,5630.290452588731,0.0,0.0,0.0,2319.927590008277,0.07001642341294885,41.39545071070167,45.39177833463596,3.9963276239342918,9.654026119592775
137,39,61,0,3,03,9,1,21,37,52,46000.0,103500.0,9570,1.0,1,2023HU0009826,2,0.0,0,0,100,1.019518,4,4,72,4,3721,0,0,0,1,0,0,0,0,46897.827999999994,105520.113,ADM-Administration Of Economic Programs And Space Research And Technology,ADM,1,0,0,0,0,1,0,0,0,0.0,0,7.510778307238485,0.1327836599625981,732,20824.541149878736,51647.808788602386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.252156079708314,38.252156079708314,0.0,0.0
75,39,27,0,5,03,9,2,21,40,52,38000.0,103500.0,8191,1.0,1,2023HU0009826,2,0.0,0,0,100,1.019518,4,4,72,4,729,0,0,0,1,0,0,0,0,38741.683999999994,105520.113,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",MED,9,0,0,0,0,0,1,0,0,0.0,0,7.510778307238485,0.1327836599625981,732,30823.695123359576,51647.808788602386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.85882674971633,36.85882674971633,0.0,0.0
38,53,29,0,1,03,8,2,21,35,52,27000.0,107000.0,8590,1.0,0,2023HU0010223,0,1.0,1,1,200,1.019518,1,1,72,3,841,0,0,0,1,0,0,0,1,27526.985999999997,109088.42599999999,"ENT-Other Amusement, Gambling, And Recreation Industries",ENT,5,0,0,0,0,0,1,1,1,1.0,1,6.114307818770852,0.12014854729483725,668,15078.683752489242,27818.929428739404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.19153907386501,35.19153907386501,0.0,0.0
178,178,30,0,1,03,9,2,20,40,52,24000.0,31700.0,6871,1.0,0,2023HU0010701,0,2.0,2,0,1000,1.019518,2,2,72,3,900,0,0,1,0,0,0,0,1,24468.431999999997,32318.720599999997,"FIN-Monetary Authorities-Central Bank, And Commerical Banking",FIN,7,0,0,0,1,0,0,0,0,2.0,0,4.015505711072972,0.05571141487096838,575,39674.33823791217,39673.82952814817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08465605929642,36.08465605929642,0.0,0.0
50,49,58,0,1,01,1,1,22,10,24,4000.0,288000.0,7860,1.0,0,2023HU0010821,0,0.0,0,0,1101,1.019518,4,4,72,2,3364,0,0,0,0,1,0,0,1,4078.0719999999997,293621.18399999995,EDU-Elementary And Secondary Schools,EDU,4,0,0,0,0,0,1,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,17302.26763934108,76762.75257514213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.093590585969736,35.093590585969736,0.0,0.0
240,232,42,0,1,03,9,2,16,20,52,8800.0,43100.0,7690,1.0,0,2023HU0010878,0,0.0,1,0,1700,1.019518,4,1,72,4,1764,0,1,0,0,0,0,0,1,8971.758399999999,43941.2258,"PRF-Services To Buildings And Dwellings, Except Landscaping Services",PRF,13,0,0,0,0,1,0,0,0,0.0,0,6.76604818940949,0.09178260814523174,694,15975.082342172424,47157.56065308177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.18848905518994,33.18848905518994,0.0,0.0
86,86,36,0,5,03,9,2,16,40,52,0.0,31200.0,8680,1.0,1,2023HU0011468,0,2.0,2,0,1400,1.019518,2,2,72,4,1296,0,1,0,0,0,0,0,0,0.0,31808.9616,"ENT-Food Services And Drinking Places, except Alcoholic Beverages",ENT,5,0,0,0,0,0,1,0,0,0.0,0,4.2574845220931214,0.062304137180691305,408,10616.837991177368,26700.065024821517,0.0,0.0,3560.9523701565877,0.0,0.0,0.0,0.0,0.0,31.073968372034916,35.37281200794923,4.298843635914313,13.834228008621732
